VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
16/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
17/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
18/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
19/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
22/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
23/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
24/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
25/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
26/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
29/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
30/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
31/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0326
01/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0327
02/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
05/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
06/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
07/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
08/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
09/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
12/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
13/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
14/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0328
15/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0327
16/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0332
19/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0332
20/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
21/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
22/08/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0329
